ABV,availability,beer_name,beer_number,brewery_name,brewery_number,notes,style
8.00%,,Galactic Double Daisy Cutter,72269,Half Acre Beer Company,18006,"We've brewed a variant of Double Daisy Cutter we're calling Galactic Double Daisy Cutter. This version highlights Galaxy hops, a bruiser grown in Australia specifically to make palates numb. This beer insisted on being a beast. Uber-hazy and jam packed with the sticky, Galaxy hops, this beer isn't for the faint of heart. ",American Double / Imperial IPA
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
11.00%,,Big Bad Baptista,256182,Epic Brewing Company,22893,"Whiskey Barrel Aged Imperial Stout with Mexican coffee, cacao nibs, vanilla, and cinnamon.",American Double / Imperial Stout
9.30%,,Madagascar,112968,4 Hands Brewing Co.,27870,Imperial Milk Stout aged in Bourbon barrels with copious amounts of Madagascar vanilla beans. <br><br>Added by ThePorterSorter on 02-15-2014<br>,Milk / Sweet Stout
6.60%,,Furious,28203,Surly Brewing Company,13014,"A tempest on the tongue, or a moment of pure hop bliss? Brewed with a dazzling blend of American hops and Scottish malt, this crimson-hued ale delivers waves of citrus, pine and carmel-toffee. For those who favor flavor, Furious has the hop-fire your taste buds have been screaming for.<br><br>Added by feloniousmonk on 02-05-2006<br>",American IPA
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,72269,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
17.20%,,Molotov Heavy,197264,Evil Twin Brewing,24300,Formerly Molotov Cocktail Heavy,American Double / Imperial IPA
,,,72269,,,,
,,,72269,,,,
6.20%,,PseudoSue,72170,Toppling Goliath Brewing Company,23222,"This single hop ale showcases the Citra hop. Named for the largest T-rex fossil ever discovered, she roars with ferocious aromas of grapefruit, citrus, mango and evergreen. Delicate in body with a mild bite in the finish.",American Pale Ale (APA)
5.00%,,Sierraveza,331615,Sierra Nevada Brewing Co.,140,No notes at this time.<br><br>Added by Jaycase on 03-06-2018<br>,American Adjunct Lager
8.10%,,Calliope,226361,Urban Artifact,40297,No notes at this time.<br><br>Added by zimm421 on 04-24-2016<br>,American Wild Ale
9.70%,,Reginald Brett,191758,Firestone Walker Brewing Co.,2210,"Strong Wild Ale- Once a Liberal Party politician in the U.K., the “Viscount Esher,” aka Reginald Brett, left a strong impression on his native England as this latest offering from Barrelworks will leave with you.  Yet another Barrelworks creation with DBA roots, this beer begins as Double DBA and is selectively matured in bourbon barrels for several months.  A further 18 months of secondary fermentation and additional maturation in French and American oak barrels creates unparalleled depth and complexity. This hefty brew is brimming with a full spectrum of flavors and aromas: Nutty sherry aromas mingle with Oak, then give way to a Cointreau-like boozy orange zest.  Tart cherries linger as the acidity builds on the palate. Vanilla, nutmeg, and cinnamon provide a supporting cast.  The whole experience is reminiscent of a Manhattan cocktail.  To be sipped and savored. A santé!<br><br>Added by turbotype on 09-23-2015<br>",American Wild Ale
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
3.80%,,Mango Even Keel,185797,Ballast Point Brewing Company,199,No notes at this time.<br><br>Added by HunterSBeerson on 08-11-2015<br>,American IPA
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
7.20%,,Hazy Jane,318017,BrewDog USA,47860,No notes at this time.<br><br>Added by WoodBrew on 12-22-2017<br>,American IPA
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,226361,,,,
,,,226361,,,,
,,,226361,,,,
,,,226361,,,,
,,,226361,,,,
,,,226361,,,,
,,,191758,,,,
,,,191758,,,,
,,,191758,,,,
,,,191758,,,,
,,,191758,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
,,,112968,,,,
12.90%,,Decoherence,224475,Cigar City Brewing,17981,"This beer is a double-barrel aged coffee coconut imperial stout and it is actually a blend of an imperial stout aged in Brandy barrels and an imperial porter aged in Bourbon barrels. The blend is then aged on Buddy Brew roasted coffee beans and toasted coconut before being packaged in 750ml bottles.<br><br>Added by Dicers on 04-12-2016<br><br><span style=""color:#CC0000;"">This beer is retired; no longer brewed.</span><br>",American Double / Imperial Stout
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
7.70%,,Chemtrails,235960,HenHouse Brewing,29164,No notes at this time.<br><br>Added by elNopalero on 06-17-2016<br>,American IPA
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
4.70%,,Wye,87752,Thornbridge Brewery,13029,No notes at this time.<br><br>Added by FLima on 12-05-2012<br>,Fruit / Vegetable Beer
11.00%,,Ales From The Wood: Richland Reserve,201009,Terrapin Beer Company,2372,"A pair of Georgia’s best liquid artisans have come together to combine two art forms: craft brewing and craft distilling. Richland Reserve, the second in our Ales from the Wood series, is made from vintage Tiramisu-Hoo Imperial Milk Stout and has been masterfully aged in Richland Rum barrels for over 22 months.<br><br>Added by cindyjeffsmith on 11-24-2015<br>",Milk / Sweet Stout
5.00%,,Nu-Teleporter,325761,Mankato Brewery,27979,No notes at this time.<br><br>Added by bbtkd on 02-03-2018<br>,American Porter
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
7.70%,,Hurricane,328226,Tree House Brewing Company,28743,"Here comes the story of Hurricane... Hurricane is a Double IPA featuring intense kettle and dry hop doses of primarily Simcoe &amp; Citra hops! A pungent aroma of earthy citrus gives way to a beer rich with complexity, conjuring perceptions of papaya, melon, mandarin orange, and stone fruit. By applying years of focused brewing execution, we are able to craft Hurricane - a beer that is neither abrasive or harsh, and features tirelessly refined characteristics. We are welcoming this beer to the family as a proud example representing who we are as a brewery. It is the result of our uncompromising dedication to fresh, progressive, and pleasantly drinkable beer. We invite you to enjoy it with laughter, good cheer, and in the company of those you love.<br><br>Added by bhatch729 on 02-16-2018<br>",American Double / Imperial IPA
11.50%,,Chiron's Flame,277988,Jackie O's Pub &amp; Brewery,1432,"Imperial red ale aged in bourbon barrels for 16 months. Notes of caramel, dark sweet cherry, and vanilla.<br><br>Added by PprBurke on 04-22-2017<br><br><span style=""color:#CC0000;"">This beer is retired; no longer brewed.</span><br>",American Strong Ale
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,191758,,,,
,,,191758,,,,
,,,191758,,,,
,,,191758,,,,
,,,191758,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
,,,256182,,,,
6.00%,,Brasserie De Blaugies / Hill Farmstead La Vermontoise,90903,Brasserie de Blaugies,825,No notes at this time.<br><br>Added by MasterSki on 03-06-2013<br>,Saison / Farmhouse Ale
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
,,,235960,,,,
,,,235960,,,,
,,,235960,,,,
,,,235960,,,,
,,,235960,,,,
,,,235960,,,,
,,,235960,,,,
,,,235960,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,28203,,,,
,,,87752,,,,
,,,87752,,,,
,,,87752,,,,
,,,87752,,,,
,,,87752,,,,
,,,87752,,,,
,,,201009,,,,
,,,201009,,,,
,,,201009,,,,
,,,201009,,,,
,,,201009,,,,
,,,201009,,,,
,,,201009,,,,
,,,201009,,,,
,,,201009,,,,
,,,201009,,,,
,,,201009,,,,
,,,325761,,,,
,,,325761,,,,
,,,325761,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,197264,,,,
,,,328226,,,,
,,,328226,,,,
,,,328226,,,,
,,,328226,,,,
,,,328226,,,,
,,,328226,,,,
,,,328226,,,,
,,,328226,,,,
,,,328226,,,,
,,,328226,,,,
,,,328226,,,,
,,,277988,,,,
,,,277988,,,,
,,,277988,,,,
,,,277988,,,,
,,,277988,,,,
,,,277988,,,,
,,,277988,,,,
,,,277988,,,,
,,,277988,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,72170,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,331615,,,,
,,,90903,,,,
,,,90903,,,,
,,,90903,,,,
,,,90903,,,,
,,,90903,,,,
,,,90903,,,,
,,,90903,,,,
,,,90903,,,,
,,,90903,,,,
,,,185797,,,,
,,,185797,,,,
,,,185797,,,,
10.50%,,Ten FIDY,34483,Oskar Blues Grill &amp; Brew,2681,"This titanic, immensely viscous stout is loaded with inimitable flavors of chocolate-covered caramel and coffee and hide a hefty 98 IBUs underneath the smooth blanket of malt. It is made with enormous amounts of two-row malt, chocolate malt, roasted barley, flaked oats and hops.<br><br>Added by Georgiabeer on 12-29-2006<br>",Russian Imperial Stout
8.00%,,Local To Locals,344157,Barrier Brewing Company,22928,"Brewed in collaboration with fellow Long Island breweries Destination Unknown, Great South Bay, Greenport Harbor, Sand City, Spider Bite and Oyster Bay in an effort to support local business.<br><br>Added by guinness77 on 05-10-2018<br>",American Double / Imperial IPA
7.00%,,Pulp Non-Fiction,308551,Barn Town Brewing,47602,No notes at this time.<br><br>Added by emerge077 on 10-23-2017<br>,American IPA
7.20%,,Is This The Real Life?,176446,SingleCut Beersmiths,30452,No notes at this time.<br><br>Added by Nmelione on 06-10-2015<br>,American IPA
,,Heritage Coffee Brown,104705,Alaskan Brewing Co.,429,"No notes at this time.<br><br>Added by BeerKangaroo on 11-08-2013<br><br><span style=""color:#CC0000;"">This beer is retired; no longer brewed.</span><br>",English Brown Ale
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
,,,224475,,,,
9.50%,,Imaginary Time,340683,Barn Town Brewing,47602,No notes at this time.<br><br>Added by jaydoc on 04-23-2018<br>,American Double / Imperial IPA
,,,318017,,,,
,,,318017,,,,
,,,318017,,,,
