abv,availability,ba_score,beer_name,beer_number,brewery_name,brewery_number,notes,pdev,ranking,ratings,reviews,style
9.80%, Rotating,3.75,Quadrophenia,204537,105 West Brewing Company,43052,No notes at this time.<br><br>Added by Parmesan on 12-11-2015<br>,0%,-,1,0,Quadrupel (Quad)
9.30%, Rotating,3.76,Tripel,303906,105 West Brewing Company,43052,No notes at this time.<br><br>Added by Franziskaner on 09-22-2017<br>,0%,-,1,1,Tripel
6.40%, Rotating,3.83,The Sheriff,317195,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 12-16-2017<br>,0%,-,1,0,American Black Ale
5.50%, Rotating,3.61,Altbier,251738,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 10-07-2016<br>,0%,-,1,0,Altbier
4.90%, Rotating,0,The Deputy Session IPA,343399,105 West Brewing Company,43052,No notes at this time.<br><br>Added by spoony on 05-06-2018<br>,0%,-,0,0,American IPA
6.50%, Rotating,4.01,Squirrel Nut Sipper,203464,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,3.49%,-,4,0,American Brown Ale
5.60%, Rotating,3.8,Session IPA,203462,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,0%,-,2,0,American IPA
5.50%, Rotating,3.45,Session Black IPA,253105,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 10-17-2016<br>,0%,-,2,0,American Black Ale
6.60%, Rotating,3.25,American Pale Ale,191047,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by Coorsy on 09-17-2015<br>,8%,-,4,1,American Pale Ale (APA)
5.20%, Rotating,3.97,Scottish Ale,224088,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 04-10-2016<br>,0%,-,2,1,Scottish Ale
8.00%, Limited (brewed once),0,2 Hops for Sister Sara,330326,101 North Brewing Company,31027,No notes at this time.<br><br>Added by rodbeermunch on 02-27-2018<br>,0%,-,0,0,American Double / Imperial IPA
