beer_ratings,beer_reviews,beer_score,beers,brewery_name,brewery_number,brewery_pdev,brewery_ratings,brewery_review,brewery_score,city,country,province
8,3,3.39,6,'A Magara,40282,,,,,Nocera Terinese,Italy,
172,72,3.64,19,'t Hofbrouwerijke,13160,,,,,Beerzel,Belgium,
"2,871",502,3.88,33,(512) Brewing Company,17863,0%,0,0,0/5,Austin,United States,Texas
37,22,3.98,7,1 Dampfbierbrauerei Zwiesel GmbH & Co.KG,6006,,,,,Zwiesel,Germany,
0,0,0,5,'t Brugs Bierinstituur,47454,,,,,Brugge,Belgium,
"3,639",849,3.73,153,10 Barrel Brewing Co.,31397,13.45%,22,7,4.09/5,Boise,United States,Idaho
0,0,0,4,0 Mile Brewing Company,42171,,,,,Hummelstown,United States,Pennsylvania
"3,639",849,3.73,153,10 Barrel Brewing Co.,16873,13.38%,91,26,4.11/5,Bend,United States,Oregon
"3,639",849,3.73,153,10 Barrel Brewing - Portland Pub,39899,13.38%,28,6,4.11/5,Portland,United States,Oregon
38,3,3.82,15,10K Brewing,43126,12.3%,12,3,3.74/5,Anoka,United States,Minnesota
99,10,3.8,40,105 West Brewing Company,43052,5.62%,14,3,4.09/5,Castle Rock,United States,Colorado
16,6,3.17,1,10 Saints Brewing Company,34381,,,,,Speightstown,Barbados,
7,0,2.94,4,101 Brewery at Twana Roadhouse,35867,9.24%,3,1,3.14/5,Quilcene,United States,Washington
275,54,3.92,16,11 Below Brewing,39953,8.72%,6,1,4.36/5,Houston,United States,Texas
34,10,3.55,11,10th District Brewing Co.,42190,0%,0,0,0/5,Abington,United States,Massachusetts
195,36,3.74,9,101 North Brewing Company,31027,0%,2,1,3.82/5,Petaluma,United States,California
5,4,3.94,3,10-56 Brewing Company,47300,,,,,Knox,United States,Indiana
