ba_score,beer_number,comment,date,feel,look,overall,rdev,smell,taste,username
2.78,273357,,"Dec 24, 2017",,,,,,,Nattesferd
3.7,235628,,"Mar 31, 2018",,,,,,,Luig
2.37,235628,"Muddy appearance. Decent white foam.<br>
Grassy smell, quite fresh, on a malty base. Citrus notes.<br>
Bitter taste, even too biter for a Pale Ale. Too yeasty, not clean.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">162 characters</span><br><br>","Jun 14, 2016",,,,,,,stcules
4.14,172735,,"Dec 24, 2017",,,,,,,Nattesferd
3.34,335475,,"Mar 28, 2018",,,,,,,desint
2.83,273357,"Dark amber, very hazy, with some small pieces of yeast floating around. A decent off-white head.<br>
At the smell malt and honey (to much?), and a present but light hoppiness.<br>
The taste starts malty and honeyed (too much), then orange peel and sugar, and a light fruitiness (peach?).<br>
A bit too sweet, but drinkable.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">311 characters</span><br><br>","Mar 22, 2017",,,,,,,stcules
3.57,318408,,"Dec 24, 2017",,,,,,,Nattesferd
3.81,249754,,"Dec 24, 2017",,,,,,,Nattesferd
3.6,313973,,"Nov 25, 2017",,,,,,,desint
3.02,249754,"Black, light brown foam.<br>
In the smell cocoa, toasted, chocolate. Dusty.<br>
Same notes in the taste.<br>
Quite round body, not excessive.<br>
Ok, nohing to remember, but an honest, drinkable, right to the styel robust porter.<br>
The 8ABV are well perceptible.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">244 characters</span><br><br>","Sep 21, 2016",,,,,,,stcules
4.5,69746,,"Oct 18, 2013",,,,,,,CrispyFL
5,69746,"This pils comes in a 11.2oz bottle with a ceramic swing cap<br>
<br>
A - Gold with descent amounts of head in the glass. Pretty Beer LOL<br>
<br>
S -The smell takes me back to the fatherland <br>
<br>
T - smooth, light, and amazing...Good aftertaste...you can tell it's filtered!!<br>
<br>
M - very carbonated-like...doesn't feel heavy but full bodied..<br>
<br>
O - I enjoyed it<br>
<br>
Serving type: bottle<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">361 characters</span><br><br>","Apr 25, 2012",5,5,5,,5,5,BlakeDaSnake
3.5,69746,,"Mar 17, 2012",,,,-20.5%,,,DarrellK
3.98,79567,,"Oct 23, 2017",,,,,,,mizx
3.85,96395,"Draft at the Boise pub.. Polished clear light copper/orange... Soapy citrus hops with good rye flavor.. Definitely has the rye punch but is smack dab in the middle of PNW hop country... Surprised I haven't reviewed this one yet... It is a staple for me if I'm there later at night with friends... Good Flavor without a devastating ABV.<br>
<br>
3.75/3.75/4/3.75/3.75<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">358 characters</span><br><br>","Aug 15, 2015",3.75,3.75,3.75,,3.75,4,JohnGalt1
4,96395,,"Sep 28, 2014",,,,,,,MikeDAdams
3.21,96395,,"Mar 01, 2014",3,3,3.25,-16.6%,3.25,3.25,stevoj
1,93805,,"Dec 27, 2017",1,1,1,-70.4%,1,1,1971bernat
2.81,93805,,"May 22, 2016",3,3,2.75,-16.9%,3.25,2.5,Gabriel_Vaughn
4.06,119066,"16.9 brown flip-top brown bottle with a freshness date.<br>
<br>
Good clarity, lots of bubbles to make a great head ... very pale yellow in color. Clean nose with hints of white grape skin, fresh hay, herbal hop, faint yeast, and grapenuts. Solid crispness, dry bready character throughout. Peppery, herbal, earthy, lemony hop flavor with a balance and slightly assertive bitterness. <br>
<br>
Real easy to knock back, a real testament of what German beer is about.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">449 characters</span><br><br>","Apr 24, 2014",,,,,,,Jason
4.6,69746,"0,33 liter Bügelflasche mindestens haltbar bis: 04.12.11. This appears to be a cross between a Bohemian pils, a Bavarian pils, and a zwickel. <br>
<br>
It pours a very nice color, a deep gold with a huge white head that forms a nice doe and sticks for a long time before receding. It leaves some very nice lacing.<br>
<br>
The smell is very good. It is orange-juicy with some lemon rind, herbal with a hint of medicinal qualities, with a nice bready malt presence. It really smells like a combo of Bavarain and Bohemian.<br>
<br>
The flavor is very nice. It has the hop flavors of a Bavarian brew with a hint of Bohemian flair perhaps, but mainly it is orange and citrusy with some grassiness. There is a bitterness that reminds me of a north-German pils. This finishes with the malty, slightly buttery character of a Czech pils.<br>
<br>
This is a world-class pilsener. It is interesting how it has seemed to have fallen through the cracks.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">910 characters</span><br><br>","Jun 05, 2011",4.5,4.5,5,,4.5,4.5,crossovert
3.45,79567,,"Mar 19, 2012",,,,,,,stevoj
4.75,96395,,"Dec 17, 2013",,,,,,,KCuff
3.5,96395,,"Nov 15, 2013",,,,-9.1%,,,Erik-P
3.81,96395,,"Jul 10, 2013",3.75,4,3.75,-1%,3.5,4,Fatehunter
